Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
1,Kris Draper,DET,C,51.87074829931972,38.265306122448976,80.4421768707483,26.87074829931973,47,6,5,11,12
2,Mike Modano,DET,C,52.21088435374149,76.36054421768708,42.3469387755102,26.190476190476193,40,4,11,15,8
3,Mark Recchi,BOS,R,29.931972789115648,30.952380952380953,57.14285714285714,29.931972789115648,81,14,34,48,35
4,Craig Conroy,CGY,C,26.53061224489796,17.346938775510203,25.0,86.05442176870748,18,2,0,2,8
7,Teemu Selanne,ANA,R,57.31292517006803,42.3469387755102,73.12925170068027,50.85034013605442,73,31,49,80,49
8,Doug Weight,NYI,C,49.48979591836735,49.82993197278912,70.06802721088435,74.14965986394559,18,2,7,9,10
9,Peter Forsberg,COL,C,14.45578231292517,1.870748299319728,38.605442176870746,85.71428571428571,2,0,0,0,4
10,Brian Rolston,N.J,R,60.03401360544217,32.82312925170068,57.82312925170068,85.8843537414966,65,14,20,34,34
11,Alex Kovalev,"OTT, PIT",R,25.170068027210885,28.061224489795915,52.04081632653062,27.55102040816326,74,16,18,34,44
12,Ray Whitney,PHX,L,81.97278911564626,81.80272108843538,67.00680272108843,49.65986394557823,75,17,40,57,24
15,Mike Knuble,WSH,R,59.693877551020414,55.61224489795919,82.6530612244898,29.761904761904763,79,24,16,40,36
18,Cory Stillman,"CAR, FLA",L,51.02040816326531,68.36734693877551,42.68707482993197,14.795918367346939,65,12,27,39,24
23,Rob Niedermayer,BUF,C,16.156462585034014,25.850340136054424,19.727891156462583,19.897959183673468,71,5,14,19,22
24,Jason Arnott,"N.J, WSH",C,45.57823129251701,37.58503401360544,62.414965986394556,63.94557823129252,73,17,14,31,40
25,Saku Koivu,ANA,C,21.598639455782312,22.108843537414966,62.074829931972786,13.095238095238097,75,15,30,45,36
26,Todd Bertuzzi,DET,R,21.08843537414966,30.612244897959183,46.08843537414966,10.54421768707483,81,16,29,45,71
27,Jamie Langenbrunner,"DAL, N.J",R,49.65986394557823,33.33333333333333,73.46938775510205,41.83673469387755,70,9,23,32,45
28,Brendan Morrison,CGY,C,60.71428571428571,72.44897959183673,51.02040816326531,33.50340136054422,66,9,34,43,16
30,Vinny Prospal,NYR,L,75.68027210884354,78.57142857142857,41.66666666666667,64.45578231292517,29,9,14,23,8
31,Jamal Mayers,S.J,R,10.204081632653061,20.408163265306122,13.945578231292515,29.25170068027211,78,3,11,14,124
32,Todd Marchant,ANA,C,4.591836734693878,6.802721088435375,7.8231292517006805,33.843537414965986,79,1,7,8,26
33,Andrew Brunette,MIN,L,93.02721088435374,85.03401360544217,62.755102040816325,73.80952380952381,82,18,28,46,16
35,Mike Grier,BUF,R,64.79591836734694,82.14285714285714,14.625850340136054,53.40136054421769,73,5,11,16,12
37,Scott Nichol,S.J,C,11.224489795918368,19.387755102040817,10.884353741496598,21.258503401360542,56,4,3,7,50
39,Ryan Smyth,L.A,L,65.3061224489796,47.27891156462585,79.421768707483,44.5578231292517,82,23,24,47,35
40,Wade Belak,NSH,R,3.571428571428571,1.7006802721088436,3.571428571428571,77.38095238095238,15,0,0,0,18
42,Ethan Moreau,CBJ,L,8.843537414965986,21.258503401360542,8.503401360544217,32.99319727891156,37,1,5,6,24
43,Ryan Johnson,CHI,C,38.945578231292515,65.64625850340136,32.82312925170068,30.612244897959183,34,1,5,6,8
44,Dave Scatchard,STL,C,31.97278911564626,29.761904761904763,12.925170068027212,96.42857142857143,8,0,1,1,6
45,Patrik Elias,N.J,C,95.40816326530613,84.01360544217688,87.58503401360545,83.50340136054422,81,21,41,62,16
47,Freddy Modin,"ATL, CGY",L,25.68027210884354,47.61904761904761,45.74829931972789,5.442176870748299,40,7,3,10,14
48,Chris Drury,NYR,C,30.782312925170068,42.00680272108844,45.57823129251701,12.414965986394558,24,1,4,5,8
49,Chris Clark,CBJ,R,23.299319727891156,23.97959183673469,19.5578231292517,65.1360544217687,53,5,10,15,38
50,Milan Hejduk,COL,R,63.095238095238095,80.95238095238095,67.3469387755102,23.12925170068027,71,22,34,56,18
52,Daniel Alfredsson,OTT,R,63.60544217687075,85.8843537414966,43.36734693877551,5.782312925170068,54,14,17,31,18
54,Steve Sullivan,NSH,L,43.36734693877551,30.782312925170068,81.29251700680273,27.040816326530614,44,10,12,22,28
55,Eric Boulton,ATL,L,17.17687074829932,9.523809523809524,28.401360544217685,81.63265306122449,69,6,4,10,87
56,Tomas Holmstrom,DET,L,29.25170068027211,21.428571428571427,50.0,69.5578231292517,73,18,19,37,62
57,Daymond Langkow,CGY,C,96.7687074829932,94.38775510204081,65.64625850340136,93.5374149659864,4,0,1,1,0
58,Shane Doan,PHX,R,47.27891156462585,45.40816326530612,76.0204081632653,37.244897959183675,72,20,40,60,67
59,Radek Dvorak,"ATL, FLA",R,34.69387755102041,39.455782312925166,24.489795918367346,60.71428571428571,66,7,15,22,24
60,Jarome Iginla,CGY,R,64.45578231292517,74.14965986394559,69.04761904761905,17.17687074829932,82,43,43,86,40
61,Jochen Hecht,BUF,C,81.4625850340136,58.50340136054422,96.42857142857143,45.91836734693878,67,12,17,29,40
62,Peter Schaefer,VAN,L,28.91156462585034,60.37414965986394,16.156462585034014,1.870748299319728,16,1,1,2,2
63,Marc Savard,BOS,C,9.183673469387756,15.306122448979592,34.523809523809526,2.380952380952381,25,2,8,10,29
64,Michal Handzus,L.A,C,41.66666666666667,66.83673469387756,31.462585034013607,18.70748299319728,82,12,18,30,20
68,Jody Shelley,PHI,L,6.63265306122449,4.761904761904762,3.4013605442176873,80.78231292517006,58,2,2,4,127
70,J-P Dumont,NSH,R,79.76190476190477,75.34013605442176,60.544217687074834,71.7687074829932,70,10,9,19,16
73,Marty Reasoner,FLA,C,66.3265306122449,73.80952380952381,47.95918367346938,68.36734693877551,82,14,18,32,22
74,Daniel Briere,PHI,C,57.14285714285714,63.435374149659864,87.07482993197279,7.653061224489796,77,34,34,68,87
75,Dainius Zubrus,N.J,C,40.136054421768705,16.666666666666664,60.204081632653065,75.68027210884354,79,13,17,30,53
76,Marco Sturm,"L.A, WSH",L,31.292517006802722,34.01360544217687,58.333333333333336,64.62585034013605,35,5,11,16,23
78,Josh Green,ANA,C,18.70748299319728,5.782312925170068,45.23809523809524,67.68707482993197,12,0,0,0,6
79,Matt Cullen,MIN,C,16.83673469387755,21.768707482993197,60.8843537414966,11.054421768707483,78,12,27,39,34
80,Steve Begin,NSH,L,3.061224489795918,2.7210884353741496,19.217687074829932,20.74829931972789,2,0,0,0,4
84,Jon Sim,NYI,L,5.1020408163265305,7.312925170068027,29.081632653061224,15.136054421768709,34,1,3,4,22
85,Arron Asham,PIT,R,15.98639455782313,29.931972789115648,20.74829931972789,49.31972789115646,44,5,6,11,46
86,Mark Parrish,BUF,R,68.70748299319727,86.39455782312925,31.802721088435376,31.462585034013607,2,0,0,0,0
88,Eric Belanger,PHX,C,44.89795918367347,34.863945578231295,69.89795918367348,46.25850340136054,82,13,27,40,36
90,Matt Bradley,WSH,R,10.54421768707483,10.884353741496598,27.2108843537415,58.333333333333336,61,4,7,11,68
91,Brian Willsie,WSH,R,64.1156462585034,90.98639455782312,15.476190476190476,0.3401360544217687,1,0,1,1,0
93,Craig Adams,PIT,R,4.931972789115646,6.292517006802721,7.142857142857142,54.08163265306123,80,4,11,15,76
94,Fernando Pisani,CHI,R,40.30612244897959,70.91836734693877,11.904761904761903,31.97278911564626,60,7,9,16,10
96,Samuel Pahlsson,CBJ,C,10.884353741496598,14.625850340136054,15.98639455782313,52.721088435374156,82,7,13,20,30
101,Matt Cooke,PIT,L,21.768707482993197,16.83673469387755,51.53061224489795,39.1156462585034,67,12,18,30,129
102,Shawn Thornton,BOS,L,25.0,39.285714285714285,35.204081632653065,59.523809523809526,79,10,10,20,122
103,Sergei Samsonov,"CAR, FLA",L,80.78231292517006,79.08163265306123,60.03401360544217,51.02040816326531,78,13,27,40,14
104,Joe Thornton,S.J,C,29.081632653061224,27.721088435374146,55.27210884353742,22.95918367346939,80,21,49,70,43
105,Patrick Marleau,S.J,"C, L",87.58503401360545,92.85714285714286,51.19047619047619,25.0,82,37,36,73,16
106,Olli Jokinen,CGY,C,33.33333333333333,46.7687074829932,40.30612244897959,11.564625850340136,79,17,37,54,44
110,Marian Hossa,CHI,R,42.00680272108844,64.62585034013605,67.85714285714286,22.108843537414966,65,25,32,57,32
111,Daniel Cleary,DET,R,57.6530612244898,77.89115646258503,63.60544217687075,12.244897959183673,68,26,20,46,20
113,Brenden Morrow,DAL,L,64.28571428571429,50.0,88.94557823129252,15.816326530612246,82,33,23,56,74
114,Kristian Huselius,CBJ,L,86.22448979591837,82.31292517006803,68.19727891156462,42.00680272108844,39,14,9,23,10
116,Francis Lessard,OTT,R,32.31292517006803,1.1904761904761905,15.816326530612246,97.27891156462584,24,0,0,0,78
118,Adam Mair,N.J,C,5.952380952380952,6.63265306122449,17.346938775510203,22.789115646258505,65,1,3,4,45
119,Jason Chimera,WSH,L,20.068027210884352,31.97278911564626,45.40816326530612,5.612244897959184,81,10,16,26,64
123,John Madden,MIN,C,56.4625850340136,82.82312925170068,19.387755102040817,45.06802721088435,76,12,13,25,10
124,Martin St. Louis,T.B,R,98.80952380952381,100.0,71.93877551020408,42.17687074829932,82,31,68,99,12
125,Todd White,NYR,C,22.448979591836736,53.40136054421769,3.231292517006803,61.904761904761905,18,1,1,2,2
126,Pascal Dupuis,PIT,R,33.6734693877551,36.904761904761905,63.775510204081634,12.074829931972788,81,17,20,37,59
127,Tom Kostopoulos,"CAR, CGY",R,36.394557823129254,15.98639455782313,63.095238095238095,53.06122448979592,76,8,10,18,74
130,Vincent Lecavalier,T.B,C,46.08843537414966,61.564625850340136,70.578231292517,8.333333333333332,65,25,29,54,43
131,David Legwand,NSH,C,75.51020408163265,71.25850340136054,87.41496598639455,54.761904761904766,64,17,24,41,22
134,Manny Malhotra,VAN,C,30.612244897959183,56.292517006802726,9.863945578231291,30.952380952380953,72,11,19,30,22
135,Mike Rupp,PIT,L,15.136054421768709,17.687074829931973,18.877551020408163,52.38095238095239,81,9,8,17,124
136,Alex Tanguay,CGY,L,56.97278911564626,69.89795918367348,60.37414965986394,16.49659863945578,79,22,47,69,24
138,Simon Gagne,T.B,L,47.61904761904761,70.578231292517,64.96598639455783,4.761904761904762,63,17,23,40,20
139,Scott Gomez,MTL,C,36.054421768707485,25.0,78.4013605442177,17.006802721088434,80,7,31,38,48
140,Nik Antropov,ATL,C,23.97959183673469,26.53061224489796,37.755102040816325,39.795918367346935,76,16,25,41,42
141,Blair Betts,PHI,C,25.850340136054424,52.04081632653062,1.530612244897959,62.074829931972786,75,5,7,12,8
143,Mike Fisher,"NSH, OTT",C,18.537414965986397,39.1156462585034,26.02040816326531,16.83673469387755,82,19,17,36,43
144,Mike Ribeiro,DAL,C,74.14965986394559,65.1360544217687,88.77551020408163,24.149659863945576,82,19,52,71,28
145,Brad Richards,DAL,C,76.19047619047619,82.6530612244898,86.73469387755102,45.74829931972789,72,28,49,77,24
146,Jarkko Ruutu,"ANA, OTT",L,36.224489795918366,10.714285714285714,37.41496598639456,87.75510204081633,73,3,9,12,97
147,Erik Cole,CAR,L,55.78231292517006,68.19727891156462,76.19047619047619,7.8231292517006805,82,26,26,52,49
