Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
1,Rob Blake,S.J,D,33.33333333333333,59.66666666666667,71.0,34.66666666666667,70,7,23,30,58
3,Chris Chelios,ATL,D,98.0,97.0,82.66666666666667,89.33333333333333,7,0,0,0,0
8,Mathieu Schneider,"PHX, VAN",D,27.333333333333332,27.333333333333332,36.0,46.33333333333333,25,2,7,9,16
10,Adam Foote,COL,D,4.0,4.333333333333334,54.333333333333336,12.333333333333334,67,0,9,9,62
14,Nicklas Lidstrom,DET,D,90.33333333333333,81.0,99.66666666666667,53.333333333333336,82,9,40,49,24
17,Darryl Sydor,STL,D,20.0,32.33333333333333,11.666666666666666,44.666666666666664,47,0,8,8,15
20,Scott Niedermayer,ANA,D,86.33333333333333,81.33333333333333,90.0,42.333333333333336,80,10,38,48,38
21,Aaron Ward,"ANA, CAR",D,8.333333333333332,5.666666666666666,24.0,15.0,77,1,12,13,62
26,Steve Staios,"CGY, EDM",D,5.0,11.666666666666666,29.666666666666668,3.6666666666666665,58,1,9,10,75
28,Sean O'Donnell,L.A,D,14.666666666666666,10.0,25.0,49.333333333333336,78,3,12,15,70
29,Roman Hamrlik,MTL,D,36.333333333333336,33.33333333333333,74.66666666666667,36.666666666666664,75,6,20,26,56
31,Sergei Gonchar,PIT,D,53.333333333333336,64.66666666666666,76.0,26.333333333333332,62,11,39,50,49
33,Craig Rivet,BUF,D,14.000000000000002,13.666666666666666,32.0,28.999999999999996,78,1,14,15,100
35,Adrian Aucoin,PHX,D,61.33333333333333,55.666666666666664,37.333333333333336,80.0,82,8,20,28,56
40,Chris Pronger,PHI,D,76.0,57.99999999999999,70.0,88.66666666666667,82,10,45,55,79
44,Brendan Witt,NYI,D,9.666666666666666,19.333333333333332,20.333333333333332,7.000000000000001,42,2,3,5,45
46,Anders Eriksson,"NYR, PHX",D,84.0,89.0,22.333333333333332,73.33333333333333,20,0,5,5,2
52,Bryan McCabe,FLA,D,35.0,41.66666666666667,61.33333333333333,45.0,82,8,35,43,81
60,Hal Gill,MTL,D,5.333333333333334,8.333333333333332,8.333333333333332,68.33333333333333,68,2,9,11,68
63,Kimmo Timonen,PHI,D,56.99999999999999,35.66666666666667,73.33333333333333,59.0,82,6,33,39,38
66,Ed Jovanovski,PHX,D,23.0,51.66666666666667,19.666666666666664,2.3333333333333335,66,10,24,34,55
68,Nolan Baumgartner,VAN,D,86.66666666666667,89.33333333333333,67.33333333333333,53.0,12,1,1,2,2
70,Mattias Ohlund,T.B,D,12.333333333333334,18.333333333333332,46.33333333333333,23.666666666666668,67,0,13,13,57
77,Jason Strudwick,EDM,D,3.3333333333333335,5.0,14.000000000000002,14.000000000000002,72,0,6,6,50
79,Sheldon Souray,EDM,D,62.66666666666667,63.66666666666667,77.0,42.66666666666667,37,4,9,13,65
83,Brad Lukowich,VAN,D,34.0,29.666666666666668,63.66666666666667,55.00000000000001,13,1,1,2,4
85,Bryce Salvador,N.J,D,9.333333333333334,10.666666666666668,30.333333333333336,32.666666666666664,79,4,10,14,57
86,Shane Hnidy,MIN,D,23.666666666666668,31.0,72.33333333333334,8.666666666666668,70,2,12,14,66
90,Kim Johnsson,"CHI, MIN",D,73.66666666666667,69.66666666666667,74.0,51.66666666666667,60,7,10,17,30
91,Wade Redden,NYR,D,88.33333333333333,82.66666666666667,64.33333333333333,69.0,75,2,12,14,27
96,Jay McKee,PIT,D,16.666666666666664,15.333333333333332,62.0,28.666666666666668,62,1,9,10,54
101,Brent Sopel,CHI,D,26.666666666666668,30.333333333333336,51.66666666666667,13.0,73,1,7,8,34
102,Stephane Robidas,DAL,D,50.33333333333333,43.666666666666664,59.0,49.0,82,10,31,41,68
103,Filip Kuba,OTT,D,54.333333333333336,46.666666666666664,92.0,21.0,53,3,25,28,28
106,Chris Phillips,OTT,D,37.0,59.333333333333336,56.333333333333336,38.666666666666664,82,8,16,24,45
108,Ruslan Salei,COL,D,71.33333333333334,65.66666666666666,67.66666666666666,87.33333333333333,14,1,5,6,10
109,Derek Morris,"BOS, PHX",D,70.0,49.333333333333336,76.33333333333333,58.333333333333336,76,4,25,29,37
114,Cory Sarich,CGY,D,29.666666666666668,17.0,60.66666666666667,37.0,57,1,5,6,58
117,Colin White,N.J,D,17.666666666666668,13.0,54.0,33.33333333333333,81,2,10,12,46
118,Zdeno Chara,BOS,D,77.0,57.666666666666664,93.0,73.0,80,7,37,44,87
