Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
1,Rob Blake,L.A,D,22.837370242214533,41.17647058823529,28.027681660899656,11.418685121107266,71,9,22,31,98
3,Patrice Brisebois,MTL,D,50.17301038062284,35.294117647058826,59.16955017301038,64.3598615916955,43,3,8,11,26
4,Chris Chelios,DET,D,51.903114186851205,73.35640138408304,12.802768166089965,52.595155709342556,69,3,9,12,36
13,Teppo Numminen,BUF,D,91.00346020761245,95.15570934256056,30.79584775086505,67.82006920415225,1,0,0,0,0
15,Luke Richardson,OTT,D,30.103806228373703,30.103806228373703,28.719723183391004,59.16955017301038,76,2,7,9,41
19,Mathieu Schneider,ANA,D,63.32179930795848,67.1280276816609,78.20069204152249,48.44290657439446,65,12,27,39,50
25,Glen Wesley,CAR,D,48.44290657439446,65.05190311418684,12.45674740484429,65.05190311418684,78,1,7,8,52
27,Keith Carney,MIN,D,57.785467128027676,24.567474048442904,85.12110726643598,67.47404844290658,61,1,10,11,42
31,Adam Foote,"CBJ, COL",D,4.844290657439446,5.190311418685121,32.52595155709342,20.761245674740483,75,1,15,16,107
33,Derian Hatcher,PHI,D,24.91349480968858,30.79584775086505,62.629757785467135,5.190311418685121,44,2,5,7,33
34,Bret Hedican,CAR,D,66.78200692041523,41.86851211072664,98.96193771626297,16.26297577854671,66,2,15,17,70
35,Sean Hill,MIN,D,2.0761245674740483,6.5743944636678195,10.726643598615917,3.4602076124567476,35,2,7,9,32
36,Ken Klee,ATL,D,48.09688581314879,13.84083044982699,70.93425605536332,82.69896193771626,72,1,9,10,60
37,Jon Klemm,L.A,D,0.6920415224913495,4.1522491349480966,1.384083044982699,14.878892733564014,22,0,0,0,10
40,Nicklas Lidstrom,DET,D,82.35294117647058,78.20069204152249,97.92387543252595,45.32871972318339,76,10,60,70,40
42,Aaron Miller,VAN,D,50.86505190311419,70.93425605536332,47.40484429065744,21.10726643598616,57,1,8,9,32
43,Jaroslav Modry,"L.A, PHI",D,12.110726643598616,20.761245674740483,15.22491349480969,46.71280276816609,80,1,8,9,50
48,Darryl Sydor,PIT,D,44.29065743944637,50.86505190311419,55.017301038062286,22.491349480968857,74,1,12,13,26
51,Sergei Zubov,DAL,D,88.92733564013841,91.00346020761245,49.82698961937716,18.685121107266436,46,4,31,35,12
52,Scott Niedermayer,ANA,D,90.3114186851211,88.92733564013841,66.43598615916954,55.017301038062286,48,8,17,25,16
53,Aaron Ward,BOS,D,35.294117647058826,24.91349480968858,47.75086505190311,51.55709342560554,65,5,8,13,54
57,Philippe Boucher,DAL,D,37.37024221453287,44.636678200692046,47.05882352941176,54.67128027681662,38,2,12,14,26
64,Steve Staios,EDM,D,28.027681660899656,32.52595155709342,29.411764705882355,38.062283737024224,82,7,9,16,121
65,Jassen Cullimore,FLA,D,55.36332179930796,42.21453287197232,38.75432525951557,88.23529411764706,65,3,10,13,38
66,Sandis Ozolinsh,S.J,D,29.757785467128027,45.674740484429066,65.7439446366782,1.7301038062283738,39,3,13,16,24
71,Alexei Zhitnik,ATL,D,41.17647058823529,31.141868512110726,80.96885813148789,14.53287197231834,65,3,5,8,58
72,Sean O'Donnell,ANA,D,3.8062283737024223,2.0761245674740483,22.145328719723185,33.56401384083045,82,2,7,9,84
73,Roman Hamrlik,MTL,D,74.74048442906575,73.01038062283737,80.62283737024222,60.89965397923876,77,5,21,26,38
75,Sergei Gonchar,PIT,D,70.58823529411765,59.16955017301038,91.00346020761245,37.37024221453287,78,12,53,65,66
76,Jason Smith,PHI,D,6.5743944636678195,12.110726643598616,25.60553633217993,51.903114186851205,77,1,9,10,86
81,Mattias Norstrom,DAL,D,19.377162629757784,30.44982698961938,29.757785467128027,31.833910034602077,66,2,11,13,40
83,Craig Rivet,S.J,D,55.017301038062286,34.2560553633218,73.01038062283737,40.13840830449827,74,5,30,35,102
85,Adrian Aucoin,CGY,D,69.8961937716263,72.66435986159169,62.9757785467128,62.28373702422145,76,10,25,35,37
90,Chris Pronger,ANA,D,33.910034602076124,44.29065743944637,34.94809688581315,29.757785467128027,72,12,31,43,109
96,Brendan Witt,NYI,D,14.53287197231834,32.17993079584775,33.21799307958477,7.26643598615917,59,2,5,7,49
98,Anders Eriksson,CGY,D,51.21107266435986,38.4083044982699,91.34948096885813,11.76470588235294,61,1,17,18,36
106,Bryan McCabe,TOR,D,13.84083044982699,26.643598615916954,15.570934256055363,40.830449826989614,54,5,18,23,81
107,Rory Fitzpatrick,PHI,D,8.304498269896193,10.380622837370241,26.989619377162633,8.304498269896193,19,0,1,1,11
110,Marek Malik,NYR,D,32.8719723183391,39.44636678200692,41.522491349480966,17.647058823529413,42,2,8,10,48
114,Nolan Pratt,BUF,D,21.79930795847751,11.76470588235294,8.996539792387544,82.35294117647058,55,1,6,7,30
116,Alain Nasreddine,PIT,D,2.768166089965398,3.4602076124567476,7.26643598615917,43.59861591695502,6,0,0,0,4
121,Hal Gill,"PIT, TOR",D,58.47750865051903,59.515570934256054,35.294117647058826,72.66435986159169,81,3,21,24,66
124,Kimmo Timonen,PHI,D,61.5916955017301,60.553633217993074,52.94117647058824,63.32179930795848,80,8,36,44,48
