Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
1,Jaromir Jagr,N.J,R,84.19243986254295,60.996563573883165,95.36082474226805,74.39862542955326,82,24,43,67,46
2,Teemu Selanne,ANA,R,77.31958762886599,73.19587628865979,67.18213058419244,41.23711340206185,64,9,18,27,12
3,Ray Whitney,DAL,L,50.0,60.824742268041234,28.1786941580756,56.87285223367697,69,9,23,32,14
5,Saku Koivu,ANA,C,12.027491408934708,25.257731958762886,19.93127147766323,5.670103092783505,65,11,18,29,46
6,Todd Bertuzzi,DET,R,9.965635738831615,12.027491408934708,43.6426116838488,11.512027491408935,59,9,7,16,40
10,Ryan Smyth,EDM,L,46.391752577319586,36.42611683848797,53.264604810996566,75.77319587628865,72,10,13,23,44
11,Patrik Elias,N.J,C,50.34364261168385,61.34020618556701,64.08934707903781,21.305841924398624,65,18,35,53,30
12,Daniel Alfredsson,DET,R,81.09965635738831,81.09965635738831,53.09278350515464,59.79381443298969,68,18,31,49,10
14,Eric Boulton,NYI,L,28.006872852233677,38.48797250859107,45.876288659793815,93.6426116838488,23,2,2,4,88
15,Shane Doan,PHX,R,59.450171821305844,57.388316151202744,68.04123711340206,32.302405498281786,69,23,24,47,34
16,Radek Dvorak,CAR,R,8.934707903780069,14.261168384879724,14.261168384879724,37.628865979381445,60,4,5,9,41
17,Jarome Iginla,BOS,R,57.0446735395189,57.90378006872853,83.8487972508591,8.419243986254296,78,30,31,61,47
18,Michal Handzus,CHI,C,18.04123711340206,32.64604810996563,23.367697594501717,14.432989690721648,59,4,12,16,16
22,Daniel Briere,MTL,C,54.81099656357389,52.92096219931272,70.96219931271477,38.83161512027492,69,13,12,25,30
23,Dainius Zubrus,N.J,C,37.628865979381445,20.962199312714777,61.16838487972509,32.98969072164948,82,13,13,26,46
25,Matt Cullen,NSH,C,68.38487972508591,51.03092783505154,94.67353951890034,23.711340206185564,77,10,29,39,32
27,Arron Asham,NYR,R,0.5154639175257731,0.6872852233676976,1.718213058419244,3.608247422680412,6,0,0,0,14
29,Craig Adams,PIT,R,4.4673539518900345,6.357388316151202,6.701030927835052,35.9106529209622,82,5,6,11,46
33,Matt Cooke,MIN,L,16.323024054982817,23.367697594501717,31.958762886597935,23.195876288659793,82,10,18,28,54
34,Shawn Thornton,BOS,L,13.745704467353953,26.804123711340207,12.886597938144329,47.07903780068728,64,5,3,8,74
35,Joe Thornton,S.J,C,72.33676975945016,44.84536082474227,95.1890034364261,55.154639175257735,82,11,65,76,32
36,Patrick Marleau,S.J,"C, L",86.76975945017182,90.893470790378,82.30240549828179,7.3883161512027495,82,33,37,70,18
37,Olli Jokinen,WPG,C,37.97250859106529,45.36082474226804,54.123711340206185,18.384879725085913,82,18,25,43,58
39,Marian Hossa,CHI,R,92.9553264604811,86.42611683848797,88.31615120274914,32.64604810996563,72,30,30,60,20
40,Daniel Cleary,DET,R,5.154639175257731,7.560137457044673,20.618556701030926,7.731958762886598,52,4,4,8,31
42,Brenden Morrow,STL,L,11.683848797250858,13.917525773195877,28.694158075601372,13.917525773195877,71,13,12,25,76
45,Jason Chimera,WSH,L,66.66666666666666,58.93470790378007,86.76975945017182,13.573883161512027,82,15,27,42,36
