Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
3,Corey Perry,EDM,R,33.44425956738768,32.945091514143094,49.417637271214645,62.229617304492514,81,19,11,30,61
4,Alex Ovechkin,WSH,L,70.38269550748753,84.02662229617304,69.55074875207987,4.9916805324459235,65,44,29,73,14
5,Evgeni Malkin,PIT,C,34.27620632279534,36.43926788685524,67.22129783693843,39.767054908485854,68,16,34,50,42
6,Sidney Crosby,PIT,C,78.86855241264558,66.72212978369384,98.83527454242929,6.988352745424292,80,33,58,91,31
8,Anze Kopitar,L.A,C,86.85524126455907,95.00831946755409,55.906821963394336,17.470881863560734,81,21,46,67,4
11,Ryan Reaves,TOR,R,1.497504159733777,2.1630615640599005,3.6605657237936775,78.70216306156405,35,0,2,2,18
12,Brad Marchand,"BOS, FLA",L,30.782029950083196,47.75374376039934,73.87687188019967,15.640599001663894,71,23,28,51,64
13,Nick Foligno,CHI,L,47.587354409317804,18.469217970049918,70.38269550748753,70.04991680532446,78,15,20,35,48
15,Trevor Lewis,L.A,C,6.322795341098169,8.319467554076539,5.324459234608985,34.94176372712147,60,6,6,12,20
17,Claude Giroux,OTT,R,80.86522462562395,75.20798668885192,72.04658901830283,45.25790349417637,81,15,35,50,18
18,Jordan Staal,CAR,C,88.35274542429285,76.53910149750416,74.87520798668885,49.58402662229617,75,13,23,36,16
19,Alex Killorn,ANA,L,66.55574043261231,29.28452579034942,69.38435940099833,92.17970049916805,82,19,18,37,30
20,Jamie Benn,DAL,L,43.59400998336106,53.91014975041597,79.36772046589017,6.156405990016639,80,16,33,49,70
22,Patrick Maroon,CHI,L,32.11314475873544,21.13144758735441,75.87354409317804,38.26955074875208,68,5,14,19,97
23,James van Riemsdyk,CBJ,L,46.75540765391015,59.40099833610649,76.70549084858568,20.965058236272878,71,16,20,36,23
25,David Perron,OTT,L,57.570715474209656,37.437603993344425,64.891846921797,68.05324459234609,43,9,7,16,12
26,Patrick Kane,DET,R,66.22296173044924,67.55407653910149,77.53743760399334,45.09151414309484,72,21,38,59,12
28,Evgenii Dadonov,DAL,R,67.72046589018302,83.19467554076539,50.582362728785355,22.296173044925123,80,20,20,40,10
29,Mikael Backlund,CGY,C,71.8801996672213,45.92346089850249,77.70382695507487,59.900166389351085,76,15,17,32,32
31,Max Pacioretty,TOR,L,44.09317803660566,53.57737104825291,84.69217970049917,2.4958402662229617,37,5,8,13,16
33,Lars Eller,"PIT, WSH",C,40.59900166389351,25.9567387687188,34.109816971713805,76.53910149750416,80,10,12,22,36
35,Steven Stamkos,NSH,C,15.640599001663894,18.302828618968388,53.41098169717138,13.976705490848584,82,27,26,53,48
41,Jordan Eberle,SEA,R,37.437603993344425,55.74043261231281,59.900166389351085,10.482529118136439,42,9,17,26,14
45,Adam Henrique,EDM,C,32.77870216306156,54.0765391014975,14.64226289517471,33.61064891846922,81,12,15,27,16
47,Gustav Nyquist,"MIN, NSH","C, R",48.75207986688852,32.77870216306156,68.71880199667221,30.449251247920134,79,11,17,28,16
48,Matt Martin,NYI,L,3.826955074875208,5.158069883527454,5.657237936772046,38.935108153078204,32,0,2,2,10
49,Cam Atkinson,T.B,R,21.13144758735441,36.938435940099836,32.4459234608985,7.653910149750416,39,4,5,9,11
51,Tyler Johnson,BOS,C,1.9966722129783694,2.329450915141431,14.975041597337771,11.480865224625623,9,0,2,2,10
52,Marcus Johansson,MIN,L,48.0865224625624,68.88519134775375,49.750415973377706,44.75873544093178,72,11,23,34,12
53,Kyle Palmieri,NYI,C,47.25457570715474,69.38435940099833,66.55574043261231,4.825291181364393,82,24,24,48,20
54,Ryan O'Reilly,NSH,C,80.0332778702163,70.04991680532446,83.69384359400999,43.427620632279535,79,21,32,53,24
55,John Tavares,TOR,C,50.41597337770383,59.73377703826955,74.70881863560732,19.467554076539102,75,38,36,74,46
57,Matt Duchene,DAL,C,93.17803660565723,91.18136439267886,92.5124792013311,8.818635607321132,82,30,52,82,12
58,Brayden Schenn,STL,C,11.813643926788686,19.800332778702163,63.56073211314476,13.477537437603992,82,18,32,50,61
60,Nazem Kadri,CGY,C,39.60066555740433,57.73710482529118,79.20133111480865,10.98169717138103,82,35,32,67,72
64,Chris Kreider,NYR,L,27.953410981697168,33.277870216306155,44.75873544093178,53.91014975041597,68,22,8,30,24
66,Reilly Smith,"NYR, VGK",R,50.91514143094842,38.60232945091514,78.369384359401,41.098169717138106,79,13,27,40,24
67,Tomas Tatar,N.J,L,17.803660565723796,9.317803660565724,26.788685524126453,84.19301164725458,74,7,10,17,20
72,Marcus Foligno,MIN,L,63.727121464226286,19.966722129783694,68.05324459234609,90.34941763727122,77,14,15,29,75
73,Craig Smith,"CHI, DET",C,23.960066555740433,40.432612312811976,75.04159733777038,3.826955074875208,59,9,9,18,34
74,Casey Cizikas,NYI,C,15.973377703826955,16.306156405990016,24.792013311148086,59.73377703826955,82,7,10,17,41
76,Nicolas Deslauriers,PHI,L,24.625623960066555,17.637271214642265,34.27620632279534,71.8801996672213,31,2,1,3,15
78,Erik Haula,N.J,L,22.296173044925123,26.955074875207984,40.93178036605657,20.798668885191347,69,11,10,21,39
79,Anders Lee,NYI,L,83.19467554076539,68.05324459234609,96.00665557404326,28.785357737104828,82,29,25,54,35
81,Nic Dowd,WSH,C,16.638935108153078,18.96838602329451,29.45091514143095,53.244592346089846,82,14,13,27,56
82,Justin Dowling,N.J,C,27.787021630615637,45.4242928452579,11.314475873544092,41.43094841930117,52,2,5,7,6
86,Mats Zuccarello,MIN,R,65.55740432612312,52.57903494176372,85.19134775374376,21.13144758735441,69,19,35,54,22
87,Calle Jarnkrok,TOR,C,7.9866888519134775,22.296173044925123,13.643926788685523,11.314475873544092,19,1,6,7,4
89,Jason Zucker,BUF,L,44.42595673876872,44.09317803660566,83.52745424292846,17.13810316139767,73,21,32,53,57
90,Tyler Toffoli,S.J,C,92.84525790349417,82.02995008319468,90.68219633943427,58.402662229617306,78,30,24,54,14
91,Charlie Coyle,"BOS, COL",C,37.10482529118136,46.25623960066555,66.88851913477536,9.816971713810316,83,17,18,35,24
94,Brock Nelson,"COL, NYI",C,69.7171381031614,75.7071547420965,70.21630615640599,28.1198003327787,80,26,30,56,18
96,Nick Bjugstad,UTA,C,33.61064891846922,54.57570715474209,46.75540765391015,19.13477537437604,66,8,11,19,16
98,Kevin Hayes,PIT,R,90.68219633943427,86.35607321131448,70.04991680532446,61.39767054908486,64,13,10,23,8
100,Vladimir Tarasenko,DET,R,78.53577371048253,92.34608985024958,44.42595673876872,18.302828618968388,80,11,22,33,6
101,Austin Watson,DET,L,36.605657237936775,27.620632279534107,53.91014975041597,90.51580698835274,13,3,0,3,17
102,Jaden Schwartz,SEA,C,54.409317803660564,66.22296173044924,75.20798668885192,34.109816971713805,81,26,23,49,24
103,Chris Wagner,COL,R,9.650582362728786,25.291181364392678,15.973377703826955,22.129783693843592,28,1,0,1,14
104,Jeff Skinner,EDM,"C, L",61.56405990016639,74.70881863560732,56.40599001663894,14.64226289517471,72,16,13,29,26
105,Zach Hyman,EDM,L,92.01331114808652,66.55574043261231,97.8369384359401,55.24126455906821,73,27,17,44,32
107,Taylor Hall,"CAR, CHI",L,33.11148086522462,47.587354409317804,66.22296173044924,12.9783693843594,77,18,24,42,36
108,Tyler Seguin,DAL,C,98.83527454242929,98.16971713810317,93.17803660565723,63.727121464226286,20,9,12,21,4
110,Mikael Granlund,"DAL, S.J",C,39.10149750415973,38.43594009983361,81.86356073211314,23.62728785357737,83,22,44,66,28
111,Nino Niederreiter,WPG,R,36.938435940099836,51.08153078202995,46.92179700499168,25.62396006655574,82,17,20,37,24
112,Bryan Rust,PIT,R,76.03993344425956,78.03660565723793,97.00499168053244,1.497504159733777,71,31,34,65,18
114,Sam Carrick,NYR,C,9.151414309484194,12.81198003327787,27.787021630615637,66.22296173044924,80,6,14,20,58
115,Brendan Gallagher,MTL,R,76.2063227953411,56.57237936772047,84.52579034941763,69.38435940099833,82,21,17,38,39
118,Mark Stone,VGK,R,86.02329450915141,80.5324459234609,83.86023294509151,21.29783693843594,66,19,48,67,14
119,Michael Sgarbossa,WSH,C,14.64226289517471,26.622296173044923,24.126455906821963,24.625623960066555,3,1,1,2,2
120,Colin Blackwell,DAL,C,35.44093178036606,33.94342762063228,31.94675540765391,81.53078202995009,63,6,11,17,16
121,Ondrej Palat,N.J,L,52.412645590682196,76.70549084858568,55.74043261231281,2.1630615640599005,77,15,13,28,12
123,Travis Boyd,MIN,C,39.267886855241265,81.03161397670549,8.153078202995008,89.18469217970049,3,0,0,0,0
126,Sean Kuraly,CBJ,C,24.126455906821963,19.467554076539102,36.272878535773714,41.930116472545755,82,6,11,17,40
127,Vincent Trocheck,NYR,C,59.73377703826955,49.58402662229617,75.54076539101497,47.25457570715474,82,26,33,59,44
128,T.J. Tynan,COL,C,25.124792013311147,3.494176372712146,31.114808652246257,94.84193011647255,9,0,1,1,4
129,Adam Lowry,WPG,C,50.582362728785355,44.592346089850246,54.409317803660564,53.41098169717138,73,16,18,34,28
130,Nick Cousins,OTT,C,29.783693843594012,34.27620632279534,53.07820299500832,38.43594009983361,50,6,9,15,41
