Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
1,Ryan Suter,STL,D,12.852664576802509,22.570532915360502,37.30407523510972,10.658307210031348,82,2,13,15,24
2,Brent Burns,CAR,D,60.81504702194357,75.86206896551724,86.83385579937304,11.285266457680251,82,6,23,29,28
7,Jack Johnson,CBJ,D,72.41379310344827,85.8934169278997,13.166144200626958,3.1347962382445136,41,0,6,6,2
9,Marc-Edouard Vlasic,S.J,D,73.35423197492163,84.32601880877742,15.673981191222571,51.724137931034484,27,1,2,3,2
10,Kris Letang,PIT,D,29.153605015673982,49.21630094043887,36.990595611285265,34.79623824451411,74,9,21,30,52
14,Erik Johnson,"COL, PHI",D,57.05329153605015,18.808777429467085,66.4576802507837,83.69905956112854,36,2,3,5,15
16,Jeff Petry,DET,D,11.912225705329153,21.630094043887148,53.29153605015674,18.495297805642632,44,1,7,8,16
21,Ian Cole,UTA,D,8.77742946708464,6.896551724137931,63.00940438871473,17.86833855799373,82,1,16,17,77
24,Brendan Smith,DAL,D,24.76489028213166,40.75235109717868,48.90282131661442,2.507836990595611,32,1,5,6,33
27,Robert Bortuzzo,UTA,D,51.410658307210035,19.122257053291534,34.48275862068966,94.04388714733543,17,0,2,2,22
30,Ryan McDonagh,T.B,D,62.06896551724138,57.68025078369906,64.89028213166145,52.03761755485894,82,4,27,31,22
32,Alec Martinez,CHI,D,60.50156739811913,71.15987460815047,78.99686520376176,4.38871473354232,44,5,7,12,8
34,Drew Doughty,L.A,D,33.5423197492163,36.990595611285265,51.410658307210035,27.89968652037618,30,4,13,17,20
36,Alex Pietrangelo,VGK,D,75.86206896551724,77.4294670846395,88.71473354231975,12.539184952978054,71,4,29,33,16
37,Zach Bogosian,MIN,D,27.89968652037618,31.347962382445143,47.02194357366771,15.987460815047022,81,4,12,16,43
38,Luke Schenn,"NSH, WPG",D,16.614420062695924,16.30094043887147,28.84012539184953,37.93103448275862,76,1,6,7,45
39,Tyler Myers,VAN,D,30.094043887147336,40.43887147335423,68.3385579937304,24.76489028213166,71,6,18,24,64
40,Erik Karlsson,PIT,D,91.53605015673982,87.14733542319749,95.61128526645768,9.090909090909092,82,11,42,53,20
42,John Carlson,WSH,D,88.40125391849529,82.75862068965517,92.78996865203762,49.21630094043887,79,5,46,51,22
43,Roman Josi,NSH,D,92.16300940438872,81.81818181818183,94.04388714733543,26.332288401253916,53,9,29,38,18
44,Travis Hamonic,OTT,D,25.07836990595611,55.172413793103445,45.45454545454545,13.479623824451412,59,1,6,7,19
46,TJ Brodie,CHI,D,20.689655172413794,12.852664576802509,56.42633228840125,47.96238244514107,54,2,8,10,18
50,Jared Spurgeon,MIN,D,96.23824451410658,87.7742946708464,87.46081504702194,77.11598746081505,66,7,25,32,14
56,Victor Hedman,T.B,D,87.46081504702194,80.25078369905955,93.10344827586206,32.288401253918494,79,15,51,66,30
59,Oliver Ekman-Larsson,TOR,D,38.87147335423197,36.05015673981191,77.74294670846395,27.27272727272727,77,4,25,29,52
61,Calvin de Haan,"COL, NYR",D,56.739811912225704,71.78683385579937,22.25705329153605,67.7115987460815,47,0,8,8,12
62,Dmitry Kulikov,FLA,D,14.420062695924765,13.166144200626958,25.07836990595611,44.827586206896555,70,4,9,13,38
63,Nick Leddy,STL,D,83.07210031347962,89.34169278996865,42.31974921630094,41.06583072100313,31,2,3,5,2
65,Brayden McNabb,VGK,D,51.09717868338558,41.37931034482759,47.64890282131661,70.53291536050156,82,5,15,20,32
68,Tyson Barrie,CGY,D,22.884012539184955,41.692789968652036,31.347962382445143,5.6426332288401255,13,1,2,3,4
69,Dmitry Orlov,CAR,D,57.993730407523515,69.59247648902821,29.780564263322884,49.52978056426332,76,6,22,28,24
70,Brian Dumoulin,"ANA, N.J",D,44.20062695924764,73.66771159874608,29.153605015673982,36.990595611285265,80,3,19,22,14
