Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
2,Rod Brind'Amour,CAR,C,62.16696269982238,61.98934280639432,54.88454706927176,70.15985790408526,59,19,32,51,38
5,Kris Draper,DET,C,5.506216696269982,10.657193605683837,7.460035523978685,8.880994671403197,65,9,8,17,68
6,Sergei Fedorov,"CBJ, WSH",C,35.701598579040855,26.465364120781526,39.07637655417407,58.96980461811723,68,11,30,41,38
7,Martin Gelinas,NSH,L,82.06039076376554,70.69271758436945,76.19893428063943,75.31083481349911,57,9,11,20,20
8,Bobby Holik,ATL,C,31.438721136767317,26.642984014209592,60.746003552397866,45.293072824156305,82,15,19,34,90
9,Jaromir Jagr,NYR,R,85.61278863232683,69.44937833037301,97.86856127886323,47.7797513321492,82,25,46,71,58
10,Trevor Linden,VAN,C,48.84547069271758,78.50799289520425,21.136767317939608,21.49200710479574,59,7,5,12,15
11,Mike Modano,DAL,C,23.80106571936057,41.91829484902309,39.96447602131439,6.571936056838366,82,21,36,57,48
12,Owen Nolan,CGY,R,49.91119005328597,50.44404973357016,57.726465364120784,45.825932504440495,77,16,16,32,71
14,Mark Recchi,"ATL, PIT",R,29.66252220248668,42.45115452930728,54.70692717584369,14.564831261101244,72,14,34,48,32
16,Gary Roberts,PIT,L,16.163410301953817,15.808170515097691,23.978685612788635,55.23978685612788,38,3,12,15,40
17,Jeremy Roenick,S.J,C,49.37833037300178,50.97690941385436,54.174067495559505,55.772646536412076,69,14,19,33,26
18,Joe Sakic,COL,C,40.852575488454704,63.232682060390765,50.44404973357016,5.328596802841918,44,13,27,40,20
20,Brendan Shanahan,NYR,L,50.26642984014209,73.71225577264654,68.73889875666075,5.150976909413854,73,23,23,46,35
21,Mike Sillinger,NYI,C,55.95026642984015,65.54174067495559,53.641207815275315,28.063943161634104,52,14,12,26,28
22,Mats Sundin,TOR,C,78.68561278863233,68.20603907637656,97.51332149200711,22.55772646536412,74,32,46,78,76
23,Scott Thornton,L.A,L,20.426287744227352,22.202486678507995,21.6696269982238,68.9165186500888,47,5,3,8,39
24,Wes Walz,MIN,C,12.25577264653641,32.5044404973357,13.321492007104796,12.25577264653641,11,1,3,4,6
26,Stu Barnes,DAL,C,39.07637655417407,66.96269982238012,16.69626998223801,36.41207815275311,79,12,11,23,26
28,Craig Conroy,CGY,C,31.616341030195382,29.307282415630553,55.06216696269982,20.781527531083483,79,12,22,34,71
29,Jim Dowd,PHI,C,2.841918294849023,7.104795737122557,5.683836589698046,86.14564831261102,73,5,5,10,41
30,Dallas Drake,DET,R,3.197158081705151,5.150976909413854,7.8152753108348145,3.9076376554174073,65,3,3,6,41
32,Bill Guerin,NYI,R,42.09591474245116,54.174067495559505,57.37122557726465,11.545293072824157,81,23,21,44,65
38,Vyacheslav Kozlov,ATL,L,74.24511545293073,58.792184724689164,64.65364120781527,90.05328596802842,82,17,24,41,26
39,Robert Lang,CHI,C,64.47602131438721,39.07637655417407,83.65896980461812,75.8436944937833,76,21,33,54,50
41,Brad May,ANA,L,7.104795737122557,4.7957371225577266,15.452930728241562,77.26465364120781,61,3,1,4,53
44,Geoff Sanderson,EDM,L,28.596802841918294,27.353463587921844,60.39076376554174,33.39253996447602,41,3,10,13,16
45,Teemu Selanne,ANA,R,90.58614564831261,83.30373001776199,74.42273534635879,56.838365896980456,26,12,11,23,8
46,Chris Simon,"MIN, NYI",L,23.623445825932503,10.124333925399645,37.83303730017762,72.46891651865009,38,1,2,3,59
47,Bryan Smolinski,MTL,C,55.23978685612788,64.29840142095915,52.39786856127886,40.142095914742455,64,8,17,25,20
49,Keith Tkachuk,STL,L,70.33747779751333,58.081705150976916,89.52042628774423,24.156305506216697,79,27,31,58,67
50,Doug Weight,"ANA, STL",C,44.40497335701599,23.26820603907638,66.96269982238012,53.108348134991125,67,10,15,25,32
54,Peter Forsberg,COL,C,69.09413854351686,37.12255772646537,99.82238010657194,85.2575488454707,9,1,13,14,8
55,Martin Lapointe,"CHI, OTT",R,19.182948490230906,17.406749555950267,22.55772646536412,77.44227353463587,70,6,7,13,70
56,Brian Rolston,MIN,R,62.699822380106575,51.332149200710475,79.21847246891652,37.12255772646537,81,31,28,59,53
58,Alex Kovalev,MTL,R,65.54174067495559,54.35168738898757,72.46891651865009,65.89698046181172,82,35,49,84,68
59,Markus Naslund,VAN,L,73.8898756660746,67.85079928952042,90.05328596802842,73.00177619893428,82,25,30,55,46
60,Glen Murray,BOS,R,42.273534635879216,46.00355239786856,65.18650088809946,13.676731793960922,63,17,13,30,50
61,Martin Rucinsky,STL,L,14.742451154529308,23.090586145648313,39.25399644760213,4.7957371225577266,40,5,11,16,40
62,Dean McAmmond,OTT,C,73.35701598579041,75.66607460035524,36.767317939609235,82.41563055062167,68,9,13,22,12
63,Ray Whitney,CAR,L,77.61989342806395,69.62699822380107,75.66607460035524,85.61278863232683,66,25,36,61,30
67,Jozef Stumpel,FLA,L,68.02841918294848,82.06039076376554,25.044404973357015,31.616341030195382,52,7,13,20,10
68,Yanic Perreault,CHI,C,26.642984014209592,26.1101243339254,43.3392539964476,46.53641207815276,53,9,5,14,24
69,Michael Nylander,WSH,C,18.650088809946713,29.129662522202487,69.80461811722914,1.5985790408525755,40,11,26,37,24
70,Mike Knuble,PHI,R,53.108348134991125,35.52397868561279,76.90941385435168,34.63587921847247,82,29,26,55,72
74,Cory Stillman,"CAR, OTT",L,41.03019538188277,64.65364120781527,42.45115452930728,26.820603907637658,79,24,41,65,24
77,Martin Straka,NYR,C,85.07992895204262,81.52753108348135,82.59325044404974,21.6696269982238,65,14,27,41,22
78,Michael Peca,CBJ,C,19.715808170515096,12.078152753108348,45.11545293072824,27.708703374777976,65,8,26,34,64
