Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
8,Zdeno Chara,BOS,D,20.588235294117645,49.673202614379086,55.22875816993464,43.790849673202615,80,9,28,37,71
9,Michal Rozsival,CHI,D,21.895424836601308,25.816993464052292,73.20261437908496,24.509803921568626,51,1,12,13,33
10,Willie Mitchell,FLA,D,30.392156862745097,23.856209150326798,45.751633986928105,2.941176470588235,46,1,6,7,18
16,Brian Campbell,FLA,D,75.49019607843137,53.59477124183007,96.07843137254902,81.04575163398692,82,6,25,31,26
17,Andrew Ference,EDM,D,2.941176470588235,2.941176470588235,17.973856209150327,2.287581699346405,6,0,0,0,6
19,Dan Boyle,NYR,D,52.28758169934641,40.52287581699346,85.29411764705883,47.712418300653596,74,10,14,24,30
22,Brad Stuart,COL,D,86.60130718954248,88.23529411764706,1.3071895424836601,97.7124183006536,6,0,0,0,0
28,Francois Beauchemin,COL,D,27.124183006535947,46.40522875816993,37.58169934640523,33.006535947712415,82,8,26,34,38
31,Rob Scuderi,"CHI, L.A, PIT",D,66.66666666666666,78.10457516339869,23.52941176470588,65.68627450980392,63,0,10,10,10
33,Andrei Markov,MTL,D,44.11764705882353,59.47712418300654,61.111111111111114,59.150326797385624,82,5,39,44,38
37,Barret Jackman,NSH,D,23.202614379084967,10.130718954248366,35.62091503267974,80.71895424836602,73,1,4,5,76
44,Mark Streit,PHI,D,62.745098039215684,78.43137254901961,52.614379084967325,54.57516339869281,62,6,17,23,18
47,Ron Hainsey,CAR,D,47.385620915032675,48.36601307189542,58.16993464052288,40.19607843137255,81,5,14,19,37
48,Brooks Orpik,WSH,D,23.856209150326798,31.045751633986928,98.0392156862745,5.555555555555555,41,3,7,10,24
52,Niklas Kronwall,DET,D,37.908496732026144,60.78431372549019,45.42483660130719,8.49673202614379,64,3,23,26,30
53,Nick Schultz,PHI,D,7.18954248366013,13.071895424836603,9.803921568627452,49.673202614379086,81,1,9,10,42
56,Paul Martin,S.J,D,20.915032679738562,46.07843137254902,83.00653594771242,17.973856209150327,78,3,17,20,22
