Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
2,Jeff Carter,PIT,C,21.67487684729064,41.21510673234811,5.911330049261084,64.36781609195403,72,11,4,15,12
3,Zach Parise,COL,L,36.94581280788177,55.82922824302135,37.60262725779967,22.660098522167488,30,5,5,10,8
5,Corey Perry,"CHI, EDM",R,32.51231527093596,30.870279146141215,38.095238095238095,52.38095238095239,54,12,10,22,46
6,Joe Pavelski,DAL,C,55.66502463054187,79.14614121510674,57.14285714285714,32.01970443349754,82,27,40,67,20
8,Alex Ovechkin,WSH,L,77.83251231527095,84.40065681444992,87.192118226601,3.284072249589491,79,31,34,65,20
9,Evgeni Malkin,PIT,C,56.97865353037766,46.63382594417077,60.75533661740559,48.275862068965516,82,27,40,67,70
10,Blake Wheeler,NYR,R,23.645320197044335,24.137931034482758,44.66338259441708,44.006568144499184,54,9,12,21,23
12,Sidney Crosby,PIT,C,85.38587848932676,76.68308702791461,99.50738916256158,9.688013136289,82,42,52,94,40
14,Anze Kopitar,L.A,C,40.06568144499179,42.20032840722496,50.08210180623974,33.33333333333333,81,26,44,70,22
16,T.J. Oshie,WSH,R,15.435139573070607,17.24137931034483,49.75369458128079,11.494252873563218,52,12,13,25,44
17,Andrew Cogliano,COL,C,21.182266009852217,18.555008210180624,15.763546798029557,86.20689655172413,75,6,13,19,16
20,Ryan Reaves,TOR,R,7.717569786535304,8.374384236453201,12.31527093596059,63.8752052545156,49,4,2,6,49
21,Brad Marchand,BOS,L,42.03612479474548,38.752052545156,73.89162561576354,25.12315270935961,82,29,38,67,78
22,Nick Foligno,CHI,L,30.049261083743843,16.091954022988507,59.60591133004927,52.052545155993435,74,17,20,37,57
24,Kyle Okposo,"BUF, FLA",R,28.407224958949094,26.272577996715928,45.812807881773395,52.21674876847291,67,12,10,22,34
25,Trevor Lewis,L.A,C,31.198686371100166,48.275862068965516,28.407224958949094,55.500821018062396,82,8,8,16,20
26,Milan Lucic,BOS,L,9.688013136289,6.896551724137931,32.18390804597701,58.620689655172406,4,0,2,2,2
27,Cal Clutterbuck,NYI,R,33.825944170771756,35.960591133004925,19.047619047619047,76.0262725779967,82,7,12,19,32
29,Claude Giroux,OTT,R,75.53366174055829,59.60591133004927,92.61083743842364,47.29064039408867,82,21,43,64,26
30,Jordan Staal,CAR,C,58.128078817733986,27.42200328407225,69.29392446633827,83.08702791461413,80,10,20,30,44
31,Nicklas Backstrom,WSH,C,9.852216748768473,10.83743842364532,18.7192118226601,71.10016420361248,8,0,1,1,2
32,Alex Killorn,ANA,"C, L",64.03940886699507,36.94581280788177,87.35632183908046,50.90311986863711,63,18,18,36,54
33,Jamie Benn,DAL,L,46.96223316912972,60.26272577996716,83.9080459770115,20.032840722495894,82,21,39,60,41
34,Nick Bonino,NYR,C,3.1198686371100166,13.628899835796387,5.41871921182266,55.82922824302135,45,1,4,5,8
37,Pat Maroon,"BOS, MIN",L,10.180623973727423,9.852216748768473,33.825944170771756,17.24137931034483,51,4,12,16,60
38,James van Riemsdyk,BOS,L,86.37110016420363,70.93596059113301,82.92282430213464,55.172413793103445,71,11,27,38,20
39,Sam Gagner,EDM,C,40.558292282430216,56.48604269293924,24.302134646962234,53.5303776683087,28,5,5,10,10
40,Logan Couture,S.J,C,7.389162561576355,5.747126436781609,44.499178981937604,58.128078817733986,6,0,1,1,4
41,Riley Nash,NYR,C,62.06896551724138,77.01149425287356,25.451559934318556,97.86535303776684,1,0,0,0,0
