Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
1,Zdeno Chara,WSH,D,29.11392405063291,26.89873417721519,27.531645569620256,49.050632911392405,55,2,8,10,44
8,Duncan Keith,CHI,D,20.88607594936709,33.22784810126582,79.74683544303798,6.012658227848101,53,4,11,15,30
10,Ryan Suter,MIN,D,78.48101265822784,68.9873417721519,91.45569620253164,21.835443037974684,56,3,16,19,12
11,Braydon Coburn,"NYI, OTT",D,14.240506329113925,7.9113924050632916,51.89873417721519,38.924050632911396,19,0,2,2,14
16,Brent Burns,S.J,D,72.78481012658227,60.44303797468354,85.75949367088607,36.708860759493675,56,7,22,29,36
20,Shea Weber,MTL,D,21.202531645569618,33.860759493670884,45.25316455696203,14.873417721518987,48,6,13,19,33
25,Mark Giordano,CGY,D,81.32911392405063,82.27848101265823,52.84810126582279,50.9493670886076,56,9,17,26,14
33,Alex Goligoski,ARI,D,75.9493670886076,72.15189873417721,79.11392405063292,52.53164556962025,56,3,19,22,14
35,Andrej Sekera,DAL,D,70.88607594936708,77.84810126582279,35.44303797468354,74.0506329113924,46,3,2,5,4
36,Alexander Edler,VAN,D,30.69620253164557,21.202531645569618,55.69620253164557,60.44303797468354,52,0,8,8,58
40,Jack Johnson,NYR,D,6.329113924050633,12.658227848101266,6.329113924050633,48.10126582278481,13,1,0,1,8
42,Marc Staal,DET,D,15.822784810126583,25.63291139240506,31.645569620253166,42.721518987341774,56,3,7,10,20
46,Marc-Edouard Vlasic,S.J,D,39.87341772151899,42.405063291139236,20.88607594936709,69.9367088607595,51,1,5,6,8
47,Kris Letang,PIT,D,66.77215189873418,76.26582278481013,73.10126582278481,21.518987341772153,55,7,38,45,32
48,Kris Russell,EDM,D,39.24050632911392,67.72151898734177,7.59493670886076,87.34177215189874,35,0,9,9,8
49,Keith Yandle,FLA,D,48.10126582278481,32.91139240506329,83.86075949367088,46.835443037974684,56,3,24,27,38
50,Niklas Hjalmarsson,ARI,D,34.810126582278485,8.544303797468354,24.050632911392405,91.77215189873418,41,0,5,5,18
54,Anton Stralman,FLA,D,27.531645569620256,58.54430379746836,16.77215189873418,6.329113924050633,38,3,6,9,8
56,Andy Greene,NYI,D,59.17721518987342,74.68354430379746,19.303797468354432,46.51898734177215,55,1,4,5,6
57,Alex Biega,DET,D,20.569620253164558,22.151898734177212,72.46835443037975,12.658227848101266,13,0,3,3,4
60,Erik Johnson,COL,D,27.848101265822784,10.126582278481013,99.36708860759494,10.126582278481013,4,0,1,1,2
66,Jeff Petry,MTL,D,87.65822784810126,75.63291139240506,91.77215189873418,38.607594936708864,55,12,30,42,20
77,Steven Kampfer,BOS,D,38.291139240506325,69.30379746835443,41.45569620253164,53.79746835443038,20,2,3,5,4
79,Ian Cole,"COL, MIN",D,4.113924050632911,2.5316455696202533,33.860759493670884,43.9873417721519,54,1,7,8,32
80,Justin Braun,PHI,D,27.21518987341772,20.88607594936709,42.08860759493671,39.24050632911392,53,1,5,6,18
81,Kevin Shattenkirk,ANA,D,58.22784810126582,21.835443037974684,80.0632911392405,71.83544303797468,55,2,13,15,28
87,P.K. Subban,N.J,D,36.708860759493675,52.21518987341772,54.11392405063291,16.77215189873418,44,5,14,19,26
89,Thomas Hickey,NYI,D,99.0506329113924,91.45569620253164,90.82278481012658,94.9367088607595,5,0,2,2,0
91,Brendan Smith,NYR,D,23.734177215189874,37.65822784810127,50.31645569620253,10.759493670886076,48,5,5,10,73
95,Carl Gunnarsson,STL,D,1.89873417721519,9.49367088607595,11.39240506329114,4.430379746835443,12,0,2,2,6
96,Yannick Weber,PIT,D,38.924050632911396,80.69620253164557,0.6329113924050633,1.2658227848101267,2,0,0,0,0
98,Robert Bortuzzo,STL,D,52.53164556962025,20.569620253164558,65.82278481012658,94.30379746835443,40,1,4,5,47
101,Ryan McDonagh,T.B,D,68.67088607594937,70.88607594936708,63.29113924050633,43.67088607594937,50,4,8,12,14
104,Jake Muzzin,TOR,D,76.58227848101265,53.79746835443038,87.65822784810126,54.43037974683544,53,4,23,27,29
105,Alec Martinez,VGK,D,87.34177215189874,83.54430379746836,96.20253164556962,14.240506329113925,53,9,23,32,12
109,Nick Holden,VGK,D,94.62025316455697,84.17721518987342,77.84810126582279,61.07594936708861,17,0,2,2,2
110,Jason Demers,ARI,D,15.18987341772152,15.18987341772152,35.12658227848101,37.65822784810127,41,0,4,4,26
113,Drew Doughty,L.A,D,72.46835443037975,31.962025316455694,59.81012658227848,92.72151898734177,56,8,25,33,26
115,Alex Pietrangelo,VGK,D,76.89873417721519,90.50632911392405,84.17721518987342,13.60759493670886,41,7,16,23,16
116,Zach Bogosian,TOR,D,35.44303797468354,6.962025316455696,62.65822784810127,73.10126582278481,45,0,4,4,49
117,Luke Schenn,T.B,D,63.60759493670886,41.45569620253164,47.78481012658228,80.69620253164557,38,2,2,4,51
119,Tyler Myers,VAN,D,29.430379746835445,46.835443037974684,56.64556962025317,18.037974683544302,55,6,15,21,51
120,Erik Karlsson,S.J,D,51.89873417721519,74.0506329113924,74.0506329113924,9.81012658227848,52,8,14,22,18
121,Luca Sbisa,NSH,D,69.9367088607595,93.0379746835443,57.59493670886076,11.075949367088606,1,0,0,0,0
122,Jake Gardiner,CAR,D,62.65822784810127,65.18987341772153,29.11392405063291,71.51898734177216,26,0,8,8,11
123,Michael Del Zotto,CBJ,D,86.70886075949366,82.59493670886076,90.18987341772153,29.11392405063291,53,4,9,13,8
126,John Carlson,WSH,D,84.49367088607595,85.12658227848101,81.9620253164557,15.50632911392405,52,10,34,44,12
127,Roman Josi,NSH,D,81.64556962025317,75.31645569620254,86.07594936708861,37.9746835443038,47,8,24,32,20
128,Justin Schultz,WSH,D,62.9746835443038,73.10126582278481,66.45569620253164,19.936708860759495,46,3,24,27,10
129,Aaron Ness,ARI,D,96.51898734177216,94.30379746835443,86.39240506329115,99.68354430379746,1,0,0,0,0
131,Travis Hamonic,VAN,D,40.50632911392405,47.46835443037975,32.594936708860764,66.13924050632912,38,3,7,10,39
133,Marco Scandella,STL,D,25.63291139240506,31.329113924050635,30.37974683544304,60.12658227848101,49,3,6,9,24
134,Michael Stone,CGY,D,42.721518987341774,66.13924050632912,69.62025316455697,20.253164556962027,21,2,2,4,6
136,TJ Brodie,TOR,D,40.822784810126585,49.050632911392405,53.16455696202531,45.25316455696203,56,1,13,14,12
139,Greg Pateryn,"COL, MIN, S.J",D,21.835443037974684,55.69620253164557,8.227848101265822,26.265822784810126,13,0,3,3,6
140,Mark Borowiecki,NSH,D,2.2151898734177213,4.113924050632911,9.177215189873419,44.936708860759495,22,0,1,1,38
143,Jared Spurgeon,MIN,D,94.30379746835443,90.82278481012658,71.20253164556962,45.88607594936709,54,7,18,25,6
145,Matt Bartkowski,MIN,D,61.39240506329114,87.65822784810126,8.860759493670885,1.5822784810126582,1,0,0,0,0
146,Jordie Benn,"VAN, WPG",D,60.12658227848101,67.40506329113924,67.40506329113924,50.31645569620253,39,1,9,10,9
158,Victor Hedman,T.B,D,59.49367088607595,68.0379746835443,43.9873417721519,37.34177215189873,54,9,36,45,28
162,Oliver Ekman-Larsson,ARI,D,13.924050632911392,30.37974683544304,17.72151898734177,18.9873417721519,46,3,21,24,32
164,Ryan Ellis,NSH,D,90.18987341772153,79.43037974683544,94.30379746835443,55.379746835443036,34,5,13,18,8
165,Calvin de Haan,CHI,D,69.62025316455697,62.0253164556962,58.86075949367089,75.31645569620254,43,1,9,10,14
167,Dmitry Kulikov,"EDM, N.J",D,45.25316455696203,10.759493670886076,62.34177215189873,78.48101265822784,48,0,4,4,28
168,Nick Leddy,NYI,D,57.59493670886076,78.79746835443038,21.518987341772153,11.39240506329114,56,2,29,31,8
170,John Moore,BOS,D,21.518987341772153,20.253164556962027,32.91139240506329,82.59493670886076,5,0,2,2,2
171,Brayden McNabb,VGK,D,33.22784810126582,48.10126582278481,4.113924050632911,67.08860759493672,41,2,6,8,16
174,Tyson Barrie,EDM,D,93.67088607594937,96.20253164556962,97.78481012658227,5.379746835443038,56,8,40,48,10
175,Dmitry Orlov,WSH,D,71.51898734177216,64.87341772151899,86.70886075949366,34.810126582278485,51,8,14,22,20
177,Brian Dumoulin,PIT,D,54.43037974683544,63.92405063291139,55.379746835443036,29.746835443037973,41,4,10,14,12
180,Mattias Ekholm,NSH,D,83.22784810126582,74.36708860759494,93.9873417721519,51.89873417721519,47,6,16,22,14
182,Sami Vatanen,"DAL, N.J",D,51.26582278481012,36.392405063291136,56.32911392405063,43.037974683544306,39,2,4,6,20
185,David Savard,"CBJ, T.B",D,7.9113924050632916,16.139240506329113,13.924050632911392,13.291139240506327,54,1,5,6,24
